page,weight,word,evidence,question,sentence,final
The Castle of Otranto,-0.00,9,"{'confidence': -0.00291437587355, 'final': False}",0,0,False
The Gold-Bug,-0.27,15,"{'confidence': -0.272819123026975, 'final': False}",0,0,False
The Purloined Letter,-0.22,22,"{'confidence': -0.22344381232217997, 'final': False}",0,0,False
The Oval Portrait,-0.22,29,"{'confidence': -0.22341485841523334, 'final': False}",0,0,False
The Oval Portrait,-0.12,35,"{'confidence': -0.12225165504487999, 'final': False}",0,0,False
The Oval Portrait,-0.00,7,"{'confidence': -0.004565344870883333, 'final': False}",0,1,False
The Oval Portrait,-0.16,13,"{'confidence': -0.15661938850433332, 'final': False}",0,1,False
Edgar Allan Poe,-0.09,18,"{'confidence': -0.0932045362090825, 'final': False}",0,1,False
The Somnambulist,-0.16,25,"{'confidence': -0.16061969835999998, 'final': False}",0,1,False
The Oval Portrait,-0.08,29,"{'confidence': -0.07685389959666666, 'final': False}",0,1,False
Globe (novel),-0.30,6,"{'confidence': -0.30286024455, 'final': False}",0,2,False
Globe,-0.61,13,"{'confidence': -0.612710725, 'final': False}",0,2,False
Globe,-0.74,20,"{'confidence': -0.74440987, 'final': False}",0,2,False
a veil,-0.02,26,"{'confidence': -0.023786311900000003, 'final': False}",0,2,False
a veil,-0.00,31,"{'confidence': -0.00066501088, 'final': True}",0,2,True
a veil,-0.01,33,"{'confidence': -0.01168401884, 'final': False}",0,2,False
a veil,-0.00,8,"{'confidence': -0.0010070999115, 'final': True}",0,3,True
a veil,-0.08,12,"{'confidence': -0.07509667745000001, 'final': False}",0,3,False
a veil,-0.00,7,"{'confidence': -0.0016923025765, 'final': True}",0,4,True
a veil,-0.00,9,"{'confidence': -0.00032808718200000005, 'final': True}",0,4,True
a veil,-0.00,9,"{'confidence': -0.00032808718200000005, 'final': True}",0,4,True
John Keats,-0.49,5,"{'confidence': -0.49105066898133326, 'final': False}",1,0,False
Leon Trotsky,-0.32,12,"{'confidence': -0.31774687561182496, 'final': False}",1,0,False
Robert Browning,-0.55,17,"{'confidence': -0.54594996734, 'final': False}",1,0,False
Langston Hughes,-0.00,8,"{'confidence': -4.866861166666667e-07, 'final': True}",1,1,True
Langston Hughes,-0.00,16,"{'confidence': -1.6880966e-07, 'final': True}",1,1,True
Langston Hughes,-0.00,22,"{'confidence': -7.896309766666667e-07, 'final': True}",1,1,True
Langston Hughes,-0.00,8,"{'confidence': -3.922854366666667e-07, 'final': True}",1,2,True
Langston Hughes,-0.00,15,"{'confidence': -3.2774788333333336e-07, 'final': True}",1,2,True
Langston Hughes,-0.00,22,"{'confidence': -1.2664456333333332e-06, 'final': True}",1,2,True
